feature,importance
Smoking,0.23290633275975983
Genetic_Risk,0.227860478251967
Treatment_Cost_USD,0.21248620392484416
Alcohol_Use,0.12835770848597058
Air_Pollution,0.12629386182457236
Obesity_Level,0.0565238924045098
Age,0.002451339428346163
Survival_Years,0.0024395034376353767
Year,0.0016453335010567262
Gender_Female,0.0003539084084556055
Gender_Male,0.0003528352991385804
Gender_Other,0.00035022112632188075
Cancer_Stage_Stage II,0.0003020283909018042
Cancer_Stage_Stage IV,0.0002973488829710179
Cancer_Stage_Stage III,0.0002898119121267984
Cancer_Stage_Stage 0,0.0002892598199680623
Cancer_Stage_Stage I,0.0002884935644589072
Cancer_Type_Prostate,0.00023111536194450646
Cancer_Type_Cervical,0.0002210537359791166
Cancer_Type_Skin,0.00021696915320951454
Cancer_Type_Liver,0.00021589264163707645
Cancer_Type_Colon,0.00021565554674729035
Cancer_Type_Breast,0.00020855479939124068
Cancer_Type_Lung,0.0002059382492370843
Cancer_Type_Leukemia,0.00020450952077502558
Country_Region_UK,0.0001898365288563842
Country_Region_China,0.0001873668283375933
Country_Region_Australia,0.00018606271007647152
Country_Region_India,0.00018495904508766518
Country_Region_Germany,0.0001837505201950977
Country_Region_Pakistan,0.00018151806059351058
Country_Region_Russia,0.00018097750579731627
Country_Region_USA,0.00017866288179196175
Country_Region_Brazil,0.0001779140916286621
Country_Region_Canada,0.00017619710872262268
Patient_ID_PT0030908,3.0615439785719542e-06
Patient_ID_PT0034556,2.7449041247521325e-06
Patient_ID_PT0026244,2.616197213743184e-06
Patient_ID_PT0005173,2.600174945818232e-06
Patient_ID_PT0035154,2.514528326697007e-06
Patient_ID_PT0049945,2.5041959872798767e-06
Patient_ID_PT0044327,2.296462373379817e-06
Patient_ID_PT0029069,2.2711119093323305e-06
Patient_ID_PT0003175,2.271044105775786e-06
Patient_ID_PT0010260,2.257449455878551e-06
Patient_ID_PT0001237,2.2527039800243506e-06
Patient_ID_PT0048521,2.2294211429938725e-06
Patient_ID_PT0047181,2.1858709658720964e-06
Patient_ID_PT0018813,2.0234075707601474e-06
Patient_ID_PT0004376,2.01453208085848e-06
Patient_ID_PT0023672,1.9738641746334347e-06
Patient_ID_PT0042312,1.972031486235862e-06
Patient_ID_PT0019905,1.9407453274645557e-06
Patient_ID_PT0000709,1.8031154653588119e-06
Patient_ID_PT0014351,1.785841665449768e-06
Patient_ID_PT0008205,1.7557803987040974e-06
Patient_ID_PT0040481,1.7232747185836056e-06
Patient_ID_PT0025917,1.7184805762837482e-06
Patient_ID_PT0029489,1.713078637165303e-06
Patient_ID_PT0008945,1.7125662328925676e-06
Patient_ID_PT0001037,1.6086249279583164e-06
Patient_ID_PT0026124,1.5953099016645054e-06
Patient_ID_PT0012491,1.5858459173139762e-06
Patient_ID_PT0023278,1.5635097284260475e-06
Patient_ID_PT0046069,1.5235865470566588e-06
Patient_ID_PT0024980,1.520945265531678e-06
Patient_ID_PT0039786,1.5200240235475948e-06
Patient_ID_PT0005724,1.5059955593814771e-06
Patient_ID_PT0030000,1.5024111000381447e-06
Patient_ID_PT0038897,1.4755815235054162e-06
Patient_ID_PT0031042,1.433341349549274e-06
Patient_ID_PT0025294,1.4245722014884074e-06
Patient_ID_PT0038611,1.420234814222967e-06
Patient_ID_PT0020418,1.4114592040613336e-06
Patient_ID_PT0037675,1.4017270114538412e-06
Patient_ID_PT0002843,1.3914819832639678e-06
Patient_ID_PT0031945,1.3713552884110748e-06
Patient_ID_PT0049743,1.3434053828376156e-06
Patient_ID_PT0037262,1.337836427475132e-06
Patient_ID_PT0002944,1.3236235868248942e-06
Patient_ID_PT0002485,1.3195188137720515e-06
Patient_ID_PT0047941,1.3157701746185759e-06
Patient_ID_PT0026763,1.2491618795577944e-06
Patient_ID_PT0017449,1.2364357742298162e-06
Patient_ID_PT0020981,1.233683369980731e-06
Patient_ID_PT0049046,1.2177047792320323e-06
Patient_ID_PT0000919,1.213557650281797e-06
Patient_ID_PT0043332,1.2094888585056974e-06
Patient_ID_PT0044784,1.1956461490913968e-06
Patient_ID_PT0019552,1.1926981053983677e-06
Patient_ID_PT0021346,1.1909393588220185e-06
Patient_ID_PT0021338,1.1883863785826348e-06
Patient_ID_PT0036137,1.1814592064517166e-06
Patient_ID_PT0021825,1.1788746519070227e-06
Patient_ID_PT0005817,1.1762418346994982e-06
Patient_ID_PT0048399,1.1638545985853117e-06
Patient_ID_PT0010569,1.1626510602772578e-06
Patient_ID_PT0016928,1.1593005124345366e-06
Patient_ID_PT0003070,1.1340763862518618e-06
Patient_ID_PT0018988,1.0974528450233862e-06
Patient_ID_PT0027209,1.0790211032889646e-06
Patient_ID_PT0046609,1.0759749859111973e-06
Patient_ID_PT0035423,1.0679186539195328e-06
Patient_ID_PT0035395,1.0649251488763845e-06
Patient_ID_PT0044918,1.0586182837619263e-06
Patient_ID_PT0018308,1.050031579597929e-06
Patient_ID_PT0034577,1.0487527198304704e-06
Patient_ID_PT0026086,1.047958860433368e-06
Patient_ID_PT0038772,1.045886354498868e-06
Patient_ID_PT0027671,1.0332347057105788e-06
Patient_ID_PT0009446,1.0232814356159887e-06
Patient_ID_PT0013788,1.0078121645229632e-06
Patient_ID_PT0047958,1.000290828285089e-06
Patient_ID_PT0048452,9.913199416407262e-07
Patient_ID_PT0017415,9.8742320601154e-07
Patient_ID_PT0022830,9.837697931380556e-07
Patient_ID_PT0023099,9.803709082148077e-07
Patient_ID_PT0044124,9.793959381893038e-07
Patient_ID_PT0046821,9.58087732217334e-07
Patient_ID_PT0011835,9.531261560289145e-07
Patient_ID_PT0042147,9.493198792599945e-07
Patient_ID_PT0023162,9.360331538595913e-07
Patient_ID_PT0033820,9.314611679816495e-07
Patient_ID_PT0016894,9.312820566338805e-07
Patient_ID_PT0033590,9.308413526071108e-07
Patient_ID_PT0015961,9.272031517093473e-07
Patient_ID_PT0041909,9.228256625487001e-07
Patient_ID_PT0044549,9.065474015686301e-07
Patient_ID_PT0038075,9.049078693270825e-07
Patient_ID_PT0048368,9.017330241731998e-07
Patient_ID_PT0012183,9.010358902768774e-07
Patient_ID_PT0024385,8.972422376493354e-07
Patient_ID_PT0016897,8.946103273335828e-07
Patient_ID_PT0014319,8.941156111559719e-07
Patient_ID_PT0033809,8.93421400102581e-07
Patient_ID_PT0021561,8.892468571562128e-07
Patient_ID_PT0045136,8.873178042231589e-07
Patient_ID_PT0004631,8.849478560816281e-07
Patient_ID_PT0013777,8.83433463273118e-07
Patient_ID_PT0001938,8.763829432389234e-07
Patient_ID_PT0046895,8.632368820813934e-07
Patient_ID_PT0010995,8.591634730347915e-07
Patient_ID_PT0044492,8.510146778383563e-07
Patient_ID_PT0029230,8.497121287880132e-07
Patient_ID_PT0002195,8.492647267585661e-07
Patient_ID_PT0011996,8.459162190062294e-07
Patient_ID_PT0038914,8.443169281008046e-07
Patient_ID_PT0040054,8.441863387412273e-07
Patient_ID_PT0023855,8.295847955076784e-07
Patient_ID_PT0049633,8.281501538682534e-07
Patient_ID_PT0021298,8.270716095771884e-07
Patient_ID_PT0047279,8.236354635014537e-07
Patient_ID_PT0043247,8.210975806656053e-07
Patient_ID_PT0035063,8.205625007546558e-07
Patient_ID_PT0024021,8.199793431142782e-07
Patient_ID_PT0002600,8.160023586779967e-07
Patient_ID_PT0022354,8.151988433393198e-07
Patient_ID_PT0036908,8.111524414133261e-07
Patient_ID_PT0005636,8.110470900539002e-07
Patient_ID_PT0008275,8.105267210446227e-07
Patient_ID_PT0003814,8.10270927068263e-07
Patient_ID_PT0000154,8.063812901123243e-07
Patient_ID_PT0043457,8.052786987543058e-07
Patient_ID_PT0016712,8.048608781939421e-07
Patient_ID_PT0028240,8.034404703625599e-07
Patient_ID_PT0015564,8.009704748290531e-07
Patient_ID_PT0015599,7.998507480086898e-07
Patient_ID_PT0046166,7.986953518448036e-07
Patient_ID_PT0017573,7.9825228460981e-07
Patient_ID_PT0018426,7.958220310936789e-07
Patient_ID_PT0005214,7.920062437428087e-07
Patient_ID_PT0004288,7.916954684577676e-07
Patient_ID_PT0005515,7.91649388464825e-07
Patient_ID_PT0037035,7.914617658615931e-07
Patient_ID_PT0017034,7.91389707870929e-07
Patient_ID_PT0032711,7.86465610159282e-07
Patient_ID_PT0008640,7.849955176876525e-07
Patient_ID_PT0024169,7.846653559006772e-07
Patient_ID_PT0011938,7.845954921190661e-07
Patient_ID_PT0001929,7.778459796421954e-07
Patient_ID_PT0047872,7.738042403355709e-07
Patient_ID_PT0002429,7.729483587713777e-07
Patient_ID_PT0040679,7.689809511520619e-07
Patient_ID_PT0043349,7.674080321164598e-07
Patient_ID_PT0044753,7.667369011166823e-07
Patient_ID_PT0041794,7.662981001653528e-07
Patient_ID_PT0013552,7.609942069729806e-07
Patient_ID_PT0031629,7.56516860351297e-07
Patient_ID_PT0005926,7.543696403691421e-07
Patient_ID_PT0013540,7.494803795902628e-07
Patient_ID_PT0032391,7.493613621568843e-07
Patient_ID_PT0011794,7.441386496171577e-07
Patient_ID_PT0031575,7.428292183716968e-07
Patient_ID_PT0004212,7.373253198101737e-07
Patient_ID_PT0029079,7.314490892290111e-07
Patient_ID_PT0003513,7.310389788619299e-07
Patient_ID_PT0013944,7.248702151222297e-07
Patient_ID_PT0004710,7.233377213028488e-07
Patient_ID_PT0021698,7.207624123278731e-07
Patient_ID_PT0048693,7.190010352820269e-07
Patient_ID_PT0017654,7.183479562279449e-07
Patient_ID_PT0035648,7.172130982741403e-07
Patient_ID_PT0017532,7.171232113866689e-07
Patient_ID_PT0002010,7.16302814763999e-07
Patient_ID_PT0032539,7.083151518499324e-07
Patient_ID_PT0003311,7.074324419717899e-07
Patient_ID_PT0047075,7.073534660587955e-07
Patient_ID_PT0029926,7.069875113081709e-07
Patient_ID_PT0029981,7.058203860836778e-07
Patient_ID_PT0002349,7.050863100907502e-07
Patient_ID_PT0021042,7.02274466394062e-07
Patient_ID_PT0035752,7.010583011481102e-07
Patient_ID_PT0045832,7.007854739358624e-07
Patient_ID_PT0018485,6.986106620962356e-07
Patient_ID_PT0044853,6.98456847186254e-07
Patient_ID_PT0003294,6.983656462860505e-07
Patient_ID_PT0018743,6.981541232687524e-07
Patient_ID_PT0015116,6.978793066615646e-07
Patient_ID_PT0039767,6.923511136825051e-07
Patient_ID_PT0011075,6.916677462296362e-07
Patient_ID_PT0033476,6.914399307148706e-07
Patient_ID_PT0000432,6.898795291876412e-07
Patient_ID_PT0027031,6.884414792164986e-07
Patient_ID_PT0018642,6.853933606146961e-07
Patient_ID_PT0039884,6.835805536737985e-07
Patient_ID_PT0005984,6.834188384266666e-07
Patient_ID_PT0031135,6.829295631631421e-07
Patient_ID_PT0015097,6.825043349049971e-07
Patient_ID_PT0003380,6.816065750603636e-07
Patient_ID_PT0036115,6.797182907958028e-07
Patient_ID_PT0010184,6.785288100822486e-07
Patient_ID_PT0025435,6.776023253679039e-07
Patient_ID_PT0034021,6.759791566888978e-07
Patient_ID_PT0035054,6.753983981636888e-07
Patient_ID_PT0025796,6.743670462007457e-07
Patient_ID_PT0039268,6.716453286394385e-07
Patient_ID_PT0001290,6.682649187183699e-07
Patient_ID_PT0040437,6.680473776280736e-07
Patient_ID_PT0019375,6.646068324115094e-07
Patient_ID_PT0022157,6.641126574448298e-07
Patient_ID_PT0016414,6.639929458999918e-07
Patient_ID_PT0047778,6.635188105613109e-07
Patient_ID_PT0020327,6.628608215874622e-07
Patient_ID_PT0020803,6.5647377687149e-07
Patient_ID_PT0000215,6.559087711014214e-07
Patient_ID_PT0025121,6.552444629678822e-07
Patient_ID_PT0014568,6.551250389479523e-07
Patient_ID_PT0032636,6.551194772180392e-07
Patient_ID_PT0002937,6.549441753318979e-07
Patient_ID_PT0031067,6.538638889890755e-07
Patient_ID_PT0026094,6.521565136110136e-07
Patient_ID_PT0024684,6.50036083773106e-07
Patient_ID_PT0000488,6.499345782685191e-07
Patient_ID_PT0001685,6.486762086051055e-07
Patient_ID_PT0003897,6.485093270659635e-07
Patient_ID_PT0035815,6.429990258244334e-07
Patient_ID_PT0024661,6.416944923908828e-07
Patient_ID_PT0004927,6.403952030506378e-07
Patient_ID_PT0048076,6.381852859492982e-07
Patient_ID_PT0048813,6.361138581325091e-07
Patient_ID_PT0001062,6.339690636386669e-07
Patient_ID_PT0033567,6.329238027509653e-07
